Meso_region_geo,State,Year,AP_ha,AC_ha,QP_ton,RMP_kgha,VP_pct
Madeira-Guaporé,RO,1990,2367,2367,1163,491,4.05
Leste Rondoniense,RO,1990,118480,118480,72082,608,28.08
Vale do Juruá,AC,1990,1109,1109,614,553,2.03
Vale do Acre,AC,1990,11690,11690,6762,578,8.97
Norte Amazonense,AM,1990,7,7,10,1428,0.05
Sudoeste Amazonense,AM,1990,358,244,206,844,0.39
Centro Amazonense,AM,1990,198,191,157,821,0.23
Sul Amazonense,AM,1990,553,546,365,668,0.81
Norte de Roraima,RR,1990,600,420,252,600,0
Sul de Roraima,RR,1990,0,0,0,0,0
Baixo Amazonas,PA,1990,10516,10406,6869,660,8.74
Marajó,PA,1990,133,95,74,778,1.04
Metropolitana de Belém,PA,1990,496,496,251,506,3.43
Nordeste Paraense,PA,1990,14890,14890,10026,673,7.21
Sudoeste Paraense,PA,1990,6215,6215,4724,760,4.61
Sudeste Paraense,PA,1990,17153,17153,7817,455,2.58
Norte do Amapá,AP,1990,10,10,6,600,0.3
Sul do Amapá,AP,1990,126,103,52,504,0.65
Ocidental do Tocantins,TO,1990,8240,7660,2005,261,1.76
Oriental do Tocantins,TO,1990,3740,3550,1605,452,5.38
Norte Maranhense,MA,1990,10631,10631,3690,347,2.49
Oeste Maranhense,MA,1990,25896,25896,15871,612,9.2
Centro Maranhense,MA,1990,30381,30381,10964,360,13.29
Leste Maranhense,MA,1990,36674,36674,8986,245,12
Sul Maranhense,MA,1990,1725,1725,581,336,1.24
Norte Piauiense,PI,1990,42415,40870,10657,260,17.33
Centro-Norte Piauiense,PI,1990,79064,76610,11144,145,16.3
Sudoeste Piauiense,PI,1990,48467,47690,7821,163,17.97
Sudeste Piauiense,PI,1990,121971,119528,17449,145,24.76
Noroeste Cearense,CE,1990,114023,64492,11664,180,21.55
Norte Cearense,CE,1990,104537,47955,10215,213,14.96
Metropolitana de Fortaleza,CE,1990,9970,9160,3955,431,19.49
Sertões Cearenses,CE,1990,196882,116397,21170,181,50.64
Jaguaribe,CE,1990,93310,34547,9163,265,25.42
Centro-Sul Cearense,CE,1990,46362,35359,7689,217,20.78
Sul Cearense,CE,1990,83408,73198,12673,173,21.12
Oeste Potiguar,RN,1990,41250,18202,3594,197,10.42
Central Potiguar,RN,1990,9145,2823,405,143,2.62
Agreste Potiguar,RN,1990,35885,35885,6015,167,18.81
Leste Potiguar,RN,1990,5576,5576,1248,223,1.31
Sertão Paraibano,PB,1990,130079,93477,2524,27,12.45
Borborema,PB,1990,75012,10954,1544,140,13.41
Agreste Paraibano,PB,1990,123257,96247,41251,428,28.56
Mata Paraibana,PB,1990,6191,5928,2575,434,0.53
Sertão Pernambucano,PE,1990,96412,81598,9565,117,19.66
São Francisco Pernambucano,PE,1990,17004,14380,11172,776,13.59
Agreste Pernambucano,PE,1990,140007,131060,47533,362,28.1
Mata Pernambucana,PE,1990,4195,3536,1410,398,0.18
Metropolitana de Recife,PE,1990,526,466,205,439,0.11
Sertão Alagoano,AL,1990,59940,58338,25013,428,63.93
Agreste Alagoano,AL,1990,29622,27452,15996,582,9.3
Leste Alagoano,AL,1990,9355,8588,4410,513,0.61
Sertão Sergipano,SE,1990,15905,13673,6326,462,47.71
Agreste Sergipano,SE,1990,22137,19260,6603,342,19.66
Leste Sergipano,SE,1990,3996,3964,1762,444,2.81
Extremo Oeste Baiano,BA,1990,25033,23955,15790,659,11.31
Vale São-Franciscano da Bahia,BA,1990,27688,26565,19659,740,14.05
Centro Norte Baiano,BA,1990,239742,236557,92861,392,33.04
Nordeste Baiano,BA,1990,180941,180941,35372,195,34.21
Metropolitana de Salvador,BA,1990,2317,2316,1507,650,0.68
Centro Sul Baiano,BA,1990,120183,117970,58985,500,12.07
Sul Baiano,BA,1990,4232,4215,3020,716,2.55
Noroeste de Minas,MG,1990,33000,29437,36001,1222,18.72
Norte de Minas,MG,1990,59161,58357,40054,686,16.72
Jequitinhonha,MG,1990,32004,31981,16656,520,19.21
Vale do Mucuri,MG,1990,17274,17259,7861,455,15.01
Triângulo Mineiro/Alto Paranaíba,MG,1990,47488,47402,37649,794,5.24
Central Mineira,MG,1990,10793,10793,8201,759,14.71
Metropolitana de Belo Horizonte,MG,1990,40942,40920,18719,457,10.81
Vale do Rio Doce,MG,1990,64235,64190,23681,368,14.34
Oeste de Minas,MG,1990,27515,27415,11986,437,14.61
Sul/Sudoeste de Minas,MG,1990,91044,90999,49764,546,8.37
Campo das Vertentes,MG,1990,21400,21388,9723,454,8.85
Zona da Mata,MG,1990,82956,82890,33183,400,14.79
Noroeste Espírito-santense,ES,1990,19843,19843,6979,351,16.24
Litoral Norte Espírito-santense,ES,1990,34165,32701,40314,1232,47.68
Central Espírito-santense,ES,1990,29786,29786,18416,618,17.47
Sul Espírito-santense,ES,1990,12224,12164,6344,521,11.43
Noroeste Fluminense,RJ,1990,3328,3218,1660,515,3.23
Norte Fluminense,RJ,1990,3564,3564,2547,714,3.06
Centro Fluminense,RJ,1990,3836,3806,2612,686,6.58
Baixadas,RJ,1990,1290,1270,1144,900,5.87
Sul Fluminense,RJ,1990,2192,2162,1458,674,11.12
Metropolitana do Rio de Janeiro,RJ,1990,1391,1133,852,751,1.14
São José do Rio Preto,SP,1990,15600,15600,10672,684,2.11
Ribeirão Preto,SP,1990,24874,24874,18519,744,1.18
Araçatuba,SP,1990,26555,26555,23414,881,6.26
Bauru,SP,1990,22988,22988,19327,840,2.83
Araraquara,SP,1990,2021,2021,1847,913,0.44
Piracicaba,SP,1990,2125,2125,1569,738,0.23
Campinas,SP,1990,12042,12042,12356,1026,1.43
Presidente Prudente,SP,1990,59136,59136,32198,544,12
Marília,SP,1990,4790,4790,1610,336,2.45
Assis,SP,1990,8471,8471,6301,743,1.2
Itapetininga,SP,1990,149538,149538,114250,764,21.36
Macro Metropolitana Paulista,SP,1990,20342,20342,15382,756,3.83
Vale do Paraíba Paulista,SP,1990,13534,13534,10728,792,15.77
Litoral Sul Paulista,SP,1990,3750,3750,2209,589,28.8
Metropolitana de São Paulo,SP,1990,1884,1884,1418,752,2.84
Noroeste Paranaense,PR,1990,34015,31894,10745,336,2.83
Centro Ocidental Paranaense,PR,1990,32400,32400,17344,535,1.17
Norte Central Paranaense,PR,1990,83695,77193,32186,416,2.17
Norte Pioneiro Paranaense,PR,1990,60266,56466,41910,742,4.31
Centro Oriental Paranaense,PR,1990,62040,35348,25233,713,4.1
Oeste Paranaense,PR,1990,19460,18875,8272,438,0.28
Sudoeste Paranaense,PR,1990,95630,78918,32942,417,3.07
Centro-Sul Paranaense,PR,1990,77375,70750,27458,388,2.1
Sudeste Paranaense,PR,1990,130916,100476,60368,600,9.65
Metropolitana de Curitiba,PR,1990,48471,48271,22570,467,1.38
Oeste Catarinense,SC,1990,258505,246476,144249,585,12.45
Norte Catarinense,SC,1990,35820,30335,24737,815,10.67
Serrana,SC,1990,72910,71639,67976,948,19.76
Vale do Itajaí,SC,1990,27006,20141,14855,737,3.72
Grande Florianópolis,SC,1990,6178,5243,4418,842,3.77
Sul Catarinense,SC,1990,31410,30453,24591,807,7.9
Noroeste Rio-grandense,RS,1990,117402,117162,71107,606,2.08
Nordeste Rio-grandense,RS,1990,11747,11747,11302,962,3.3
Centro Ocidental Rio-grandense,RS,1990,16100,16100,11751,729,1.35
Centro Oriental Rio-grandense,RS,1990,30107,30084,20615,685,2.31
Metropolitana de Porto Alegre,RS,1990,14750,14750,9346,633,1.45
Sudoeste Rio-grandense,RS,1990,2050,2050,1208,589,0.1
Sudeste Rio-grandense,RS,1990,22367,22367,15281,683,1.91
Pantanais Sul Mato-grossense,MS,1990,4295,4199,2526,601,10.33
Centro Norte de Mato Grosso do Sul,MS,1990,10638,7383,3867,523,1.72
Leste de Mato Grosso do Sul,MS,1990,8977,7594,3565,469,1.52
Sudoeste de Mato Grosso do Sul,MS,1990,53606,43053,24008,557,3.22
Norte Mato-grossense,MT,1990,29657,29657,12962,437,3.82
Nordeste Mato-grossense,MT,1990,5540,5540,2366,427,3.05
Sudoeste Mato-grossense,MT,1990,26037,26037,10979,421,10.29
Centro-Sul Mato-grossense,MT,1990,7013,6798,2636,387,2.81
Sudeste Mato-grossense,MT,1990,2665,2595,1947,750,0.46
Noroeste Goiano,GO,1990,3316,2891,2100,726,8.57
Norte Goiano,GO,1990,6329,6224,3505,563,11.73
Centro Goiano,GO,1990,123731,122910,66580,541,17.62
Leste Goiano,GO,1990,28083,27022,16476,609,10.58
Sul Goiano,GO,1990,22121,21723,30299,1394,5.04
Distrito Federal,DF,1990,6331,6331,7506,1185,10.27
Madeira-Guaporé,RO,1991,2419,2419,1098,453,3.37
Leste Rondoniense,RO,1991,136835,136835,75753,553,18.32
